timestamp,sentiment,tally
2018-04-28,negative,189
2018-04-28,neutral,499
2018-04-28,positive,332
2018-04-29,negative,188
2018-04-29,neutral,499
2018-04-29,positive,333
2018-04-30,negative,177
2018-04-30,neutral,497
2018-04-30,positive,346
2018-05-01,negative,182
2018-05-01,neutral,503
2018-05-01,positive,335
2018-05-02,negative,215
2018-05-02,neutral,496
2018-05-02,positive,309
2018-05-03,negative,189
2018-05-03,neutral,515
2018-05-03,positive,316
2018-05-04,negative,193
2018-05-04,neutral,503
2018-05-04,positive,324
2018-05-05,negative,185
2018-05-05,neutral,503
2018-05-05,positive,332
2018-05-06,negative,189
2018-05-06,neutral,504
2018-05-06,positive,327
2018-05-07,negative,213
2018-05-07,neutral,529
2018-05-07,positive,278
2018-05-08,negative,198
2018-05-08,neutral,484
2018-05-08,positive,338
2018-05-09,negative,185
2018-05-09,neutral,493
2018-05-09,positive,342
2018-05-10,negative,213
2018-05-10,neutral,518
2018-05-10,positive,289
2018-05-11,negative,187
2018-05-11,neutral,504
2018-05-11,positive,329
2018-05-12,negative,183
2018-05-12,neutral,472
2018-05-12,positive,365
2018-05-13,negative,193
2018-05-13,neutral,483
2018-05-13,positive,344
2018-05-14,negative,186
2018-05-14,neutral,513
2018-05-14,positive,321
2018-05-15,negative,185
2018-05-15,neutral,507
2018-05-15,positive,328
2018-05-16,negative,177
2018-05-16,neutral,539
2018-05-16,positive,304
2018-05-17,negative,203
2018-05-17,neutral,507
2018-05-17,positive,310
2018-05-18,negative,185
2018-05-18,neutral,513
2018-05-18,positive,321
2018-05-19,negative,211
2018-05-19,neutral,490
2018-05-19,positive,319
2018-05-20,negative,214
2018-05-20,neutral,516
2018-05-20,positive,290
2018-05-21,negative,188
2018-05-21,neutral,507
2018-05-21,positive,325
2018-05-22,negative,211
2018-05-22,neutral,521
2018-05-22,positive,288
2018-05-23,negative,200
2018-05-23,neutral,514
2018-05-23,positive,306
2018-05-24,negative,214
2018-05-24,neutral,503
2018-05-24,positive,303
2018-05-25,negative,203
2018-05-25,neutral,492
2018-05-25,positive,325
2018-05-26,negative,186
2018-05-26,neutral,531
2018-05-26,positive,303
2018-05-27,negative,202
2018-05-27,neutral,510
2018-05-27,positive,308
2018-05-28,negative,208
2018-05-28,neutral,536
2018-05-28,positive,276
2018-05-29,negative,202
2018-05-29,neutral,523
2018-05-29,positive,295
2018-05-30,negative,220
2018-05-30,neutral,507
2018-05-30,positive,293
2018-05-31,negative,201
2018-05-31,neutral,495
2018-05-31,positive,324
2018-06-01,negative,205
2018-06-01,neutral,499
2018-06-01,positive,316
2018-06-02,negative,216
2018-06-02,neutral,500
2018-06-02,positive,291
2018-06-03,negative,183
2018-06-03,neutral,505
2018-06-03,positive,332
2018-06-04,negative,198
2018-06-04,neutral,498
2018-06-04,positive,324
2018-06-05,negative,186
2018-06-05,neutral,515
2018-06-05,positive,319
2018-06-06,negative,215
2018-06-06,neutral,486
2018-06-06,positive,319
2018-06-07,negative,191
2018-06-07,neutral,520
2018-06-07,positive,309
2018-06-08,negative,192
2018-06-08,neutral,520
2018-06-08,positive,308
2018-06-09,negative,228
2018-06-09,neutral,456
2018-06-09,positive,336
2018-06-10,negative,179
2018-06-10,neutral,500
2018-06-10,positive,341
2018-06-11,negative,246
2018-06-11,neutral,459
2018-06-11,positive,315
2018-06-12,negative,244
2018-06-12,neutral,480
2018-06-12,positive,296
2018-06-13,negative,196
2018-06-13,neutral,511
2018-06-13,positive,313
2018-06-14,negative,206
2018-06-14,neutral,486
2018-06-14,positive,328
2018-06-15,negative,212
2018-06-15,neutral,480
2018-06-15,positive,328
2018-06-16,negative,222
2018-06-16,neutral,476
2018-06-16,positive,322
2018-06-17,negative,203
2018-06-17,neutral,503
2018-06-17,positive,314
2018-06-18,negative,203
2018-06-18,neutral,504
2018-06-18,positive,313
2018-06-19,negative,239
2018-06-19,neutral,497
2018-06-19,positive,284
2018-06-20,negative,250
2018-06-20,neutral,524
2018-06-20,positive,246
2018-06-21,negative,213
2018-06-21,neutral,537
2018-06-21,positive,270
2018-06-22,negative,209
2018-06-22,neutral,510
2018-06-22,positive,301
2018-06-23,negative,238
2018-06-23,neutral,478
2018-06-23,positive,304
2018-06-24,negative,230
2018-06-24,neutral,496
2018-06-24,positive,294
2018-06-25,negative,248
2018-06-25,neutral,473
2018-06-25,positive,299
2018-06-26,negative,195
2018-06-26,neutral,521
2018-06-26,positive,304
2018-06-27,negative,222
2018-06-27,neutral,490
2018-06-27,positive,308
2018-06-28,negative,229
2018-06-28,neutral,495
2018-06-28,positive,296
2018-06-29,negative,188
2018-06-29,neutral,480
2018-06-29,positive,352
2018-06-30,negative,222
2018-06-30,neutral,487
2018-06-30,positive,311
2018-07-01,negative,202
2018-07-01,neutral,507
2018-07-01,positive,311
2018-07-02,negative,212
2018-07-02,neutral,496
2018-07-02,positive,312
2018-07-03,negative,191
2018-07-03,neutral,472
2018-07-03,positive,357
2018-07-04,negative,208
2018-07-04,neutral,496
2018-07-04,positive,316
2018-07-05,negative,182
2018-07-05,neutral,501
2018-07-05,positive,337
2018-07-06,negative,175
2018-07-06,neutral,488
2018-07-06,positive,357
2018-07-07,negative,183
2018-07-07,neutral,507
2018-07-07,positive,330
2018-07-08,negative,195
2018-07-08,neutral,543
2018-07-08,positive,282
2018-07-09,negative,223
2018-07-09,neutral,487
2018-07-09,positive,310
2018-07-10,negative,209
2018-07-10,neutral,471
2018-07-10,positive,340
2018-07-11,negative,192
2018-07-11,neutral,523
2018-07-11,positive,305
2018-07-12,negative,202
2018-07-12,neutral,505
2018-07-12,positive,313
2018-07-13,negative,198
2018-07-13,neutral,508
2018-07-13,positive,314
2018-07-14,negative,206
2018-07-14,neutral,510
2018-07-14,positive,304
2018-07-15,negative,231
2018-07-15,neutral,471
2018-07-15,positive,318
2018-07-16,negative,209
2018-07-16,neutral,518
2018-07-16,positive,293
2018-07-17,negative,175
2018-07-17,neutral,504
2018-07-17,positive,341
2018-07-18,negative,207
2018-07-18,neutral,520
2018-07-18,positive,293
2018-07-19,negative,206
2018-07-19,neutral,513
2018-07-19,positive,301
2018-07-20,negative,205
2018-07-20,neutral,509
2018-07-20,positive,305
