date,open,high,low,close,close_24,high_24,low_24,range,range_24,change_24
2018-09-02,1.2969,1.2969,1.2893,1.2925,1.2925,1.2969,1.2893,0.007600000000000051,0.007600000000000051,-0.0043999999999999595
2018-08-31,1.3009,1.3029,1.2943,1.2956,1.2969,1.3029,1.2943,0.008599999999999941,0.008599999999999941,-0.0040000000000000036
2018-08-30,1.3024,1.3043,1.2984,1.3008,1.3009,1.3043,1.2984,0.005900000000000016,0.005900000000000016,-0.0015000000000000568
2018-08-29,1.287,1.3033,1.2844,1.3024,1.3024,1.3033,1.2844,0.018899999999999917,0.018899999999999917,0.01540000000000008
2018-08-28,1.2895,1.2932,1.2859,1.287,1.287,1.2932,1.2859,0.007299999999999862,0.007299999999999862,-0.0025000000000001688
2018-08-27,1.2851,1.2901,1.2827,1.2895,1.2895,1.2901,1.2827,0.007400000000000073,0.007400000000000073,0.0044000000000001815
2018-08-26,1.2848,1.2852,1.2831,1.2851,1.2851,1.2852,1.2831,0.0020999999999999908,0.0020999999999999908,0.00029999999999996696
2018-08-24,1.281,1.2881,1.2797,1.2839,1.2848,1.2881,1.2797,0.008399999999999963,0.008399999999999963,0.0038000000000000256
2018-08-23,1.2915,1.2917,1.2801,1.2809,1.281,1.2917,1.2801,0.011600000000000055,0.011600000000000055,-0.010500000000000176
2018-08-22,1.2907,1.2936,1.2867,1.2915,1.2915,1.2936,1.2867,0.006900000000000128,0.006900000000000128,0.0008000000000001339
2018-08-21,1.2801,1.2925,1.2793,1.2907,1.2907,1.2925,1.2793,0.013199999999999878,0.013199999999999878,0.010599999999999943
2018-08-20,1.2746,1.2801,1.2727,1.2801,1.2801,1.2801,1.2727,0.007400000000000073,0.007400000000000073,0.00550000000000006
2018-08-19,1.2739,1.2751,1.2738,1.2746,1.2746,1.2751,1.2738,0.0012999999999998568,0.0012999999999998568,0.0006999999999999229
2018-08-17,1.2714,1.2754,1.2696,1.2754,1.2739,1.2754,1.2696,0.005800000000000027,0.005800000000000027,0.0024999999999999467
2018-08-16,1.2696,1.2754,1.2684,1.2714,1.2714,1.2754,1.2684,0.007000000000000117,0.007000000000000117,0.0018000000000000238
2018-08-15,1.2723,1.2735,1.2661,1.2696,1.2696,1.2735,1.2661,0.007400000000000073,0.007400000000000073,-0.0026999999999999247
2018-08-14,1.2761,1.2827,1.2703,1.2723,1.2723,1.2827,1.2703,0.012399999999999967,0.012399999999999967,-0.0038000000000000256
2018-08-13,1.2767,1.2791,1.2729,1.2763,1.2761,1.2791,1.2729,0.006199999999999983,0.006199999999999983,-0.0005999999999999339
2018-08-12,1.2762,1.278,1.2742,1.2767,1.2767,1.278,1.2742,0.0038000000000000256,0.0038000000000000256,0.0004999999999999449
2018-08-10,1.282,1.2837,1.2722,1.2765,1.2762,1.2837,1.2722,0.011500000000000066,0.011500000000000066,-0.005800000000000027
2018-08-09,1.2883,1.2912,1.2817,1.282,1.282,1.2912,1.2817,0.009499999999999842,0.009499999999999842,-0.006299999999999972
2018-08-08,1.2942,1.296,1.2852,1.2883,1.2883,1.296,1.2852,0.010800000000000143,0.010800000000000143,-0.005900000000000016
2018-08-07,1.2943,1.2974,1.2922,1.2942,1.2942,1.2974,1.2922,0.0052000000000000934,0.0052000000000000934,-9.999999999998899e-05
2018-08-06,1.3,1.3006,1.2918,1.2943,1.2943,1.3006,1.2918,0.008799999999999919,0.008799999999999919,-0.005700000000000038
2018-08-05,1.301,1.3012,1.2995,1.3001,1.3,1.3012,1.2995,0.0016999999999998128,0.0016999999999998128,-0.0009999999999998899
2018-08-03,1.3017,1.3043,1.2974,1.2997,1.301,1.3043,1.2974,0.006899999999999906,0.006899999999999906,-0.000700000000000145
2018-08-02,1.3126,1.3129,1.3011,1.3018,1.3017,1.3129,1.3011,0.011800000000000033,0.011800000000000033,-0.01089999999999991
2018-08-01,1.3116,1.3144,1.3094,1.3126,1.3126,1.3144,1.3094,0.0050000000000001155,0.0050000000000001155,0.0009999999999998899
